,laptops,prices,ratings,votes
40,"ASUS CHROMEBOOK C202SA-YS02 11.6"" RUGGEDIZED AND WATER RESISTANT DESIGN WITH 180 DEGREE (INTEL CELERON 4 GB, 16GB EMMC,",$381.99,73.4,(3)
41,"Acer Aspire ES 17.3"" Laptop - Black (Intel Pentium N4200 / 500GB HDD / 4GB RAM / Windows 10)",$500.89,60.0,(2)
42,"Lenovo IdeaPad 330 15.6"" Laptop - Platinum Grey (Intel Celeron N4100/500GB HDD/4GB RAM/Windows 10) - English",$400.89,87.6,(354)
43,"Lenovo N42-20 14"" Touchscreen Chromebook (Intel Celeron N3060/ 16GB eMMC/ 2GB RAM/ Chrome OS) - 80VJ0000US",$400.99,100.0,(1)
44,"HP 11.6"" x360 Touchscreen Laptop - Silver (Intel Pentium N3710/500GB HDD/4GB RAM/Win 10) - Open Box",$470.89,37.6,(8)
45,"Acer Chromebook 14 NX.GC2AA.010 14"" Chromebook - Silver (Celeron / 32GB SSD / 4 GB / Intel HD Graphics / Chrome OS)",$405.58,100.0,(2)
46,"Acer R 11.6"" Chromebook (Intel Celeron N3050/16GB eMMC/4GB RAM/Chrome OS) - C738T-C60Q",$389.99,80.0,(1)
47,"Dell Latitude E6220 Laptop, 12.5"" Display, Intel Core i5, 4GB RAM, 250GB HDD, Windows 10 Home- Refurbished",$349.99,60.0,(1)
48,"Acer Swift 1 SF113-31-P1NX 13.3” Laptop, Intel® N4200, 64GB eMMC, 4GB RAM - Windows 10 Home, Refurbished",$319.99,40.0,(1)
49,"DELL Latitude E6420, Intel i5 Dual Core 2.5GHz, 4GB DDR3 Memory, 320GB SATA HDD, DVD ROM, Windows 10 Pro 64 Bit, Refurbished",$309.00,60.0,(4)
50,"Lenovo X130E 11.6"" Laptop AMD E450 Dual Core 1.65 Ghz, 4G DDR3 RAM,320G Hard Drive,Windows 10, 1 Year Warranty-Refurbished",$139.99,60.0,(2)
51,"Lenovo ThinkPad E575 20H8000HUS 15.6"" 16:9 Notebook - 1366 x 768 - AMD A-Series A6-9500B Dual-core (2 Core) 2.30 GHz - 4GB",$902.18,100.0,(1)
52,"Acer Laptop 14"" N5000 1.10 GHz 4 GB Ram 64 GB eMMC SSD Intel UHD Windows 10 Silver, Refurbished",$389.99,20.0,(2)
53,"Lenovo ThinkPad X130e Laptop 11.6"", AMD E450, 4GB RAM, 320GB HDD, Windows 10 - Refurbished",$199.00,100.0,(1)
54,"Lenovo Ideapad 130 15.6"" Laptop - Black (AMD A6-9225/500GB HDD/4GB RAM/Windows 10) - English",$450.89,80.0,(1)
55,"HP ProBook 450 G5 15.6"" LCD Notebook - Intel Core i5 (8th Gen) i5-8250U Quad-core (4 Core) 1.60 GHz - 4GB DDR4 SDRAM - 500GB",$834.39,100.0,(1)
56,"Dell Latitude E6430 Intel i5-2.6GHz, 4GB, 320GB , Windows 10 Home 64 Bit (French/English), 14.1"" Screen, 1YW-Refurbished",$299.00,66.6,(3)
57,"CHROMEBOOK3189,11.6IN TOUCH,CELERONN3060",$662.06,80.0,(1)
58,"Refurbished HP 215 AMD A6-1450 1Ghz, 4GB Ram, 500GB Drive, Radeon HD 8250, BTT 4.0, HDMI, Touch, webcam, Win 10 Home",$199.00,68.0,(5)
59,"Acer Aspire 15.6"" Laptop - Black (Intel Core i5-8250U/1TB HDD/8GB RAM/Windows 10)",$600.89,60.0,(4)
60,"Apple MacBook Air 13.3"" (Intel Core i5 1.8 GHz/ 128GB SSD/ 8GB RAM) - English","$1,200.89",97.0,(5977)
61,"ASUS ZenBook 14"" Laptop - Grey (Intel Core i5-8250U / 256GB SSD / 8GB RAM / Windows 10)",$900.89,69.6,(63)
62,"HP 15.6"" Touchscreen Laptop - Natural Silver (Intel Core i5-8250U/1TB HDD/8GB RAM/Windows 10)",$800.89,69.6,(21)
63,"Acer Aspire 5 15.6"" Laptop - Silver (Intel Core i5-8265U/256GB SSD/8GB RAM/Windows 10)",$850.89,70.0,(2)
64,"HP Pavilion 13.3"" Laptop - Mineral Silver (Intel Core i5-8265U/256GB SSD/8GB RAM/Windows 10)",$800.89,33.4,(6)
65,"ASUS Vivobook 15.6"" Laptop - Grey (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10)",$850.89,75.2,(34)
66,"ASUS TUF 15.6"" Gaming Laptop - Red (Intel Core i5-8300H/1TB HDD/8GB RAM/NVIDIA GTX 1050/Windows 10)",$900.89,71.4,(7)
67,"Acer Aspire 5 15.6"" Laptop - Silver (Intel Core i5-8265U/256GB SSD/8GB RAM/Windows 10)",$800.89,100.0,(2)
68,"ASUS VivoBook 15.6"" Laptop - Dark Grey (AMD Quad-Core R5-2500U/256GB SSD/8GB RAM/Windows 10)",$800.89,77.6,(8)
69,"ASUS Vivobook 15.6"" Laptop - Grey (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10) - Open Box",$600.89,80.0,(1)
70,"Microsoft Surface 2 13.5"" Touchscreen Laptop - Black (Intel Core i5/256GB SSD/8GB RAM) - English","$1,400.89",89.4,(15)
71,"Apple MacBook Air 13.3"" w/ Retina - Gold (Intel Core i5 1.6GHz / 128GB SSD / 8GB RAM) - English","$1,500.89",96.8,(70)
72,"Apple MacBook Air 13.3"" (Intel Core i5 1.8 GHz/ 256GB SSD/ 8GB RAM) - English","$1,450.89",97.0,(2191)
73,"HP x360 14"" Touchscreen 2-in-1 Laptop - Silver (Intel Core i5-8265U/256GB SSD/8GB RAM/Windows 10)",$900.89,80.0,(2)
74,"Lenovo IdeaPad 330S 15.6"" Laptop - Platinum Grey (Intel Core i7-8550U/256GB SSD/8GB RAM) - English","$1,000.89",86.6,(6)
75,"Apple MacBook Pro 13.3"" Laptop - Space Grey (i5 2.3GHz/128GB SSD/8GB RAM)- English","$1,730.89",96.6,(3222)
76,"Acer Nitro 5 15.6"" Gaming Laptop - Black/Red (AMD Ryzen 5 2500U/1TB HDD/8GB RAM/AMD Radeon RX 560X)",$900.89,78.2,(11)
77,"Acer Aspire 3 15.6"" Laptop - Black (AMD Ryzen 5 2500U/1TB HDD/8GB RAM/Windows 10)",$700.89,92.0,(5)
78,"Dell 14"" Touchscreen 2-in-1 Laptop - Silver (Intel Core i5-8265U/256GB SSD/8GB RAM/Windows 10)",$900.89,20.0,(1)
79,"Apple MacBook Air 13.3"" w/ Retina - Space Grey (Intel Core i5 1.6GHz / 128GB SSD / 8GB RAM) - English","$1,500.89",94.0,(63)
80,"HP ENVY 15.6"" Touchscreen 2-in-1 Laptop - Silver (Intel Core i5-8250U/256GB SSD/8GB RAM/Win 10) -Eng","$1,100.89",82.8,(21)
81,"Lenovo IdeaPad 330 15.6"" Laptop - Onyx Black (Intel Core i3-8130U/ 1TB HDD/8GB RAM/Windows 10)",$650.89,46.6,(3)
