,laptops,prices,ratings,votes
40,"Asus VivoBook E402 14"" Laptop - Dark Blue (Intel Pentium N4200 / 1TB HDD / 4GB RAM / Windows 10) - (E402NA-QN2-CB)",$523.19,20.0,(1)
41,"ASUS Transformer Mini 10.1"" Convertible Laptop (Intel Atom x5-Z8350/128GB SSD/4GB RAM/Windows 10) - Open Box",$400.85,40.0,(4)
42,"Asus C202SA-YS02 11.6"" Ruggedized and Water Resistant Design Chromebook with 180 Degree Hinge,Dark Blue/Silver",$351.98,60.0,(2)
43,"Dell Latitude E6430 Intel i5-2.6GHz, 4GB, 320GB , Windows 10 Home 64 Bit (French/English), 14.1"" Screen, 1YW-Refurbished",$279.00,66.6,(3)
44,"HP 15.6"" Laptop - Grey (Intel Pentium N3710 / 500GB HDD / 4GB RAM / Windows 10)",$350.87,68.0,(10)
45,"Dell Latitude E6230 Laptop, 12.5"" Display, Intel Core i5, 4GB RAM, 320GB HDD, Windows 10 - Refurbished",$375.00,60.0,(2)
46,"Lenovo Winbook N23 N3060 11.6"" 4GB SDRAM 128GB SSD Win10",$446.85,20.0,(2)
47,"HP 11 G5 N3050 11.6"" 4GB SDRAM 32GB Storage Chrome OS",$331.89,20.0,(2)
48,13.3 (fhd) Touch / Core I5-7200u / 4gb / 128gb / Intel Hd,"$1,438.78",90.2,(126)
49,"HP EliteBook 8470p Notebook, Intel i5 Dual Core 2.5GHz, 4GB DDR3 Memory, 128GB SSD, DVD ROM, Win 10 Pro 64 Bit, Refurbished",$339.00,20.0,(1)
50,"ASUS Vivobook 15.6"" Laptop - Grey (Intel Core i5-8250U/1TB SSHD/8GB RAM/Windows 10)",$800.89,60.0,(4)
51,"ASUS ZenBook 14"" Laptop - Grey (Intel Core i5-8250U / 256GB SSD / 8GB RAM / Windows 10)",$950.89,78.0,(31)
52,"Apple MacBook Air 13.3"" (Intel Core i5 1.8 GHz/ 128GB SSD/ 8GB RAM) - English","$1,200.89",97.0,(2104)
53,"Dell Inspiron 15.6"" Touchscreen Laptop (Intel Core i5-7200U/2TB HDD/8 GB RAM/Windows 10) - English",$650.89,87.0,(1843)
54,"HP 15.6"" Touchscreen Laptop - Grey (AMD A9-9420/1TB HDD/8GB RAM/Windows 10)",$500.89,60.0,(19)
55,"Apple MacBook Pro 13.3"" Laptop (Intel Core i5 2.3GHz / 128GB SSD / 8GB RAM) - Space Grey - English","$1,730.89",96.4,(1375)
56,"HP 15.6"" Touchscreen Laptop - Silver (Intel Core i5-7200U/ 1TB HDD/ 8GB RAM/ Windows 10)",$800.89,70.4,(27)
57,"ASUS ZenBook 14"" Laptop - Grey (Intel Core i5-8250U / 256GB SSD / 8GB RAM / Windows 10) - Open Box",$900.89,40.0,(2)
58,"Acer Aspire 3 15.6"" Laptop - Black (Intel Core i5-7200U / 1TB HDD / 8GB RAM / Windows 10)",$570.89,80.0,(1)
59,"Dell 15.6"" Inspiron Touchscreen Laptop - Black (Intel Core i3-7100U/1TB HDD/8GB RAM/Windows 10)",$700.89,88.0,(797)
60,"HP Pavilion x360 14"" Touchscreen Convertible Laptop - Silver (Intel Core i5-7200U/256GB SSD/8GB RAM)","$1,000.89",68.8,(18)
61,"HP ENVY x360 15.6"" 2-in-1 Laptop - Silver (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10)","$1,000.89",77.6,(25)
62,"Acer Aspire 3 15.6"" Laptop - Black (Intel Core i3-7100U/1TB HDD/8GB RAM/Windows 10)",$630.89,100.0,(1)
63,"Acer Swift 3 14"" Laptop - Silver (Intel Quad Core i5-8250U/256GB SSD/8 GB RAM/Windows 10)",$900.89,85.6,(43)
64,"Acer Aspire 5 15.6"" Laptop - Black (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10)",$800.89,81.6,(12)
65,"Dell 15.6"" Gaming Laptop - Black (Intel Core i5-7300HQ / 1TB HDD / 8GB RAM / Windows 10) - English","$1,100.89",72.0,(10)
66,"Apple MacBook Air 13.3"" (Intel Core i5 1.8 GHz/ 128GB SSD/ 8GB RAM) - French","$1,200.89",65.0,(4)
67,"ASUS VivoBook X541UV 15.6"" Gaming Laptop - Chocolate Black/Gold (i7-7500U/1TB HDD/8GB RAM)-Open Box",$900.89,40.0,(4)
68,"Acer Swift 3 14"" Laptop - Silver (Intel Core i5-8250U/128GB SSD/8GB RAM/Windows 10 Home)",$700.89,76.0,(10)
69,"ASUS ZenBook Flip UX360UA 13.3"" Touchscreen Laptop -Rose Gold (Intel Core i5-7200U/256GB SSD/8GB DDR3 RAM)","$1,000.87",76.2,(47)
70,"Google Pixelbook 12.3"" Chromebook - Silver (Intel Kaby Lake-Y i5/ 128GB eMMC/ 8GB RAM/Chrome OS)-Eng","$1,180.89",96.4,(44)
71,"Apple MacBook Air 13.3"" (Intel Core i5 1.8 GHz/ 256GB SSD/ 8GB RAM) - English","$1,450.89",96.0,(1053)
72,"HP ENVY x360 15.6"" 2-in-1 Laptop - Silver (AMD Ryzen 5 2500U/1TB HDD/8GB RAM/Windows 10)","$1,000.89",71.4,(7)
73,"Acer Spin 5 13.3"" 2-in-1 Laptop - Silver (Intel Core i5-8250U / 256GB SSD/ 8GB RAM / Windows 10)","$1,000.89",68.4,(12)
74,"Apple MacBook Pro 13.3"" Laptop w/ Touch Bar (Intel Core i5 3.1GHz/256GB SSD/8GB RAM) -Space Grey-Eng","$2,300.89",97.6,(621)
75,"HP Spectre x360 13.3"" 2-in-1 Laptop - Silver (Intel Core i5-8250U / 256 GB SSD / 8GB RAM / Win10)","$1,550.89",58.6,(14)
76,"Dell Inspiron 15.6"" Laptop - Silver (Intel Core i5-8250U / 256GB SSD / 8GB RAM/ Windows 10)",$900.89,42.2,(9)
77,"HP Pavilion 14"" Laptop - Silver (Intel Core i5-7200U/256GB SSD/8GB RAM/Windows 10)",$950.89,75.0,(4)
